sku	price	quantity	handling-time	merchant_shipping_group_name
SHEST131	0	0	4	3-5
SHEST132	13.26169411764706	95	4	3-5 15$
SHEST133	0	0	4	3-5
SHEST134	13.113035294117651	4	4	3-5 15$
SHEST135	12.287152941176473	95	4	3-5 15$
SHEST136	13.195623529411769	95	4	3-5 15$
SHEST137	12.716611764705888	95	4	3-5 15$
SHEST138	12.353223529411764	95	4	3-5 15$
SHEST139	12.700094117647058		4	3-5 15$
SHEST140	14.896941176470595	4	4	3-5 15$
SHEST141	15.359435294117649	95	4	3-5 15$
SHEST142	12.65054117647059		4	3-5 15$
SHEST143	12.419294117647066	95	4	3-5 15$
SHEST144	12.485364705882361	3	4	3-5 15$
SHEST145	0	0	4	3-5
SHEST146	12.733129411764708	95	4	3-5 15$
SHEST147	12.254117647058827	95	4	3-5 15$
SHEST148	0	0	4	3-5
SHEST149	12.155011764705886	95	4	3-5 15$
SHEST150	12.039388235294119	95	4	3-5 15$
SHEST151	12.766164705882353	95	4	3-5 15$
SHEST152	12.022870588235296	95	4	3-5 15$
SHEST153	11.98983529411765	95	4	2-4 15$
SHEST154	15.276847058823531	95	4	3-5 15$
SHEST155	11.775105882352946	95	4	3-5 15$
SHEST156	12.766164705882353	95	4	3-5 15$
SHEST157	11.758588235294116	95	4	3-5 15$
SHEST158	11.428235294117652	95	4	3-5 15$
SHEST159	11.560376470588235	4	4	2-4 15$
SHEST160	11.543858823529419	95	4	3-5 15$
SHEST161	12.518400000000007	95	4	3-5 15$
SHEST163	11.114400000000007	3	4	3-5 15$
SHEST164	11.576894117647065	95	4	3-5 15$
SHEST165	11.064847058823531	95	4	3-5 15$
SHEST166	11.279576470588239	95	4	3-5 15$
SHEST167	11.048329411764708	95	4	3-5 15$
SHEST168	10.883152941176473	95	4	3-5 15$
SHEST169	10.701458823529414	95	4	2-4 15$
SHEST170	11.163952941176476	95	4	3-5 15$
SHEST171	10.717976470588237	3	4	2-4 15$
SHEST172	0		4	1-3
SHEST173	11.329129411764708	95	4	3-5 15$
SHEST174	10.701458823529414	95	4	3-5 15$
SHEST175	10.453694117647064	95	4	3-5 15$
SHEST176	10.651905882352946	95	4	2-4 15$
SHEST177	10.503247058823533	95	4	3-5 15$
SHEST178	10.916188235294118	95	4	3-5 15$
SHEST179	0	0	4	3-5
SHEST180	10.684941176470591	95	4	3-5 15$
SHEST181	10.238964705882356	95	4	3-5 15$
SHEST182	11.048329411764708	95	4	3-5 15$
SHEST183	10.668423529411768	95	4	2-4 15$
SHEST184	0	0	4	3-5
SHEST185	10.13985882352942	95	4	3-5 15$
SHEST186	10.106823529411766	95	4	2-4 15$
SHEST187	9.94164705882353	95	4	3-5 15$
SHEST188	12.551435294117653	95	4	3-5 15$
SHEST189	9.859058823529416	95	4	3-5 15$
SHEST190	9.809505882352948	95	4	3-5 15$
SHEST191	10.040752941176475	95	4	3-5 15$
SHEST192	10.883152941176473	95	4	3-5 15$
SHEST193	9.776470588235302	95	4	3-5 15$
SHEST194	0	0	4	3-5
SHEST195	11.13091764705883	95	4	3-5 15$
SHEST196	9.94164705882353	95	4	3-5 15$
SHEST197	9.512188235294122	95	4	3-5 15$
SHEST198	9.82602352941177	1	4	3-5 15$
SHEST199	10.371105882352943	95	4	3-5 15$
SHEST200	9.297458823529418	95	4	2-4 15$
SHEST201	10.420658823529415	95	4	3-5 15$
SHEST202	8.57068235294118	95	4	3-5 15$
SHEST203	9.115764705882356	95	4	3-5 15$
SHEST204	9.59477647058824	95	4	3-5 15$
SHEST205	8.719341176470593	95	4	3-5 15$
SHEST206	10.057270588235298	95	4	3-5 15$
SHEST207	10.25548235294118	95	4	3-5 15$
SHEST208	8.620235294117652	95	4	3-5 15$
SHEST209	9.000141176470592	95	4	3-5 15$
SHEST210	8.719341176470593		4	3-5 15$
SHEST211	8.686305882352944	95	4	3-5 15$
SHEST212	7.827388235294119	4	4	3-5 15$
SHEST213	8.636752941176475	95	4	3-5 15$
SHEST214	0	0	4	3-5
SHEST215	8.57068235294118	95	4	3-5 15$
SHEST216	8.57068235294118	95	4	3-5 15$
SHEST217	8.554164705882354	95	4	3-5 15$
SHEST218	8.422023529411767	4	4	3-5 15$
SHEST219	8.47157647058824	95	4	3-5 15$
SHEST220	8.66978823529412	95	4	3-5 15$
SHEST221	8.422023529411767	95	4	3-5 15$
SHEST222	9.479152941176473	95	4	2-4 15$
SHEST223	8.322917647058826	1	4	3-5 15$
SHEST224	8.289882352941177	95	4	3-5 15$
SHEST225	0	0	4	3-5
SHEST226	8.207294117647063	95	4	2-4 15$
SHEST227	8.075152941176476	2	4	3-5 15$
SHEST228	8.042117647058827	95	4	3-5 15$
SHEST229	8.025600000000004	3	4	3-5 15$
SHEST230	8.752376470588239	95	4	3-5 15$
SHEST231	7.67872941176471	95	4	3-5 15$
SHEST232	9.908611764705885	95	4	3-5 15$
SHEST233	7.827388235294119	95	4	3-5 15$
SHEST234	8.009082352941181	95	4	3-5 15$
SHEST235	7.926494117647064	95	4	3-5 15$
SHEST236	7.876941176470591	95	4	3-5 15$
SHEST237	7.827388235294119	95	4	2-4 15$
SHEST238	0	0	4	3-5
SHEST239	9.396564705882355	95	4	3-5 15$
SHEST240	7.645694117647064	95	4	2-4 15$
SHEST241	7.860423529411769	95	4	2-4 15$
SHEST242	7.596141176470589	95	4	3-5 15$
SHEST243	9.115764705882356	95	4	3-5 15$
SHEST244	7.3648941176470615	95	4	3-5 15$
SHEST245	7.216235294117649	4	4	3-5 15$
SHEST246	8.620235294117652	3	4	3-5 15$
SHEST247	8.190776470588236	4	4	3-5 15$
SHEST248	9.165317647058828	95	4	3-5 15$
SHEST249	0	0	4	3-5
SHEST250	8.620235294117652	1	4	3-5 15$
SHEST251	7.711764705882356	95	4	3-5 15$
SHEST252	0	0	4	3-5
SHEST253	8.53764705882353	95	4	3-5 15$
SHEST254	6.539011764705883	95	4	3-5 15$
SHEST255	8.66978823529412	95	4	3-5 15$
SHEST256	6.076517647058825	95	4	3-5 15$
SHEST257	7.893458823529414	2	4	3-5 15$
SHEST258	5.878305882352944	95	4	3-5 15$
SHEST259	6.208658823529415	95	4	3-5 15$
SHEST260	5.580988235294122	95	4	3-5 15$
SHEST261	5.746164705882357	95	4	3-5 15$
SHEST262	5.547952941176472	95	4	3-5 15$
SHEST263	5.547952941176472	95	4	2-4 15$
SHEST264	6.076517647058825	95	4	2-4 15$
SHEST265	5.168047058823532	95	4	3-5 15$
SHEST266	4.656000000000006	95	4	2-4 15$
SHEST267	4.6394823529411795	95	4	2-4 15$
SHEST269	3.450211764705884	95	4	3-5 15$
SHEST270	3.417176470588238	1	4	3-5 15$
SHEST286	24.05741176470589	95	4	3-5 25$
SHEST309	23.809647058823536	95	4	3-5 25$
SHEST321	30.5556705882353	95	4	3-5 15$
SHEST331	26.66720000000001	95	4	3-5 25$
SHEST332	30.869505882352946	3	4	3-5 15$
SHEST333	29.349882352941187	3	4	3-5 15$
SHEST334	30.588705882352947	95	4	3-5 15$
SHEST335	24.30517647058825		4	3-5 25$
SHEST336	30.5556705882353	3	4	2-4 15$
SHEST337	21.365035294117654	95	4	2-4 25$
SHEST338	30.489600000000003	95	4	3-5 15$
SHEST339	30.407011764705885	95	4	3-5 15$
SHEST340	30.407011764705885	95	4	2-4 15$
SHEST341	30.37397647058824	95	4	3-5 15$
SHEST342	0	0	4	3-5
SHEST343	30.37397647058824	95	4	2-4 15$
SHEST344	30.37397647058824	95	4	2-4 15$
SHEST345	30.37397647058824	95	4	3-5 15$
SHEST346	30.35745882352942	2	4	3-5 15$
SHEST347	21.05120000000001	4	4	3-5 25$
SHEST348	30.274870588235302	95	4	3-5 15$
SHEST349	28.44141176470589	1	4	2-4 15$
SHEST350	30.142729411764712		4	3-5 15$
SHEST351	30.07665882352942	95	4	3-5 15$
SHEST352	30.043623529411775	2	4	3-5 15$
SHEST354	22.62037647058824	95	4	3-5 25$
SHEST355	24.156517647058834	95	4	2-4 25$
SHEST356	30.060141176470594	95	4	3-5 15$
SHEST357	27.945882352941183	95	4	3-5 15$
SHEST358	21.166823529411765	95	4	3-5 25$
SHEST359	28.2432	2	4	3-5 15$
SHEST360	22.323058823529415	95	4	3-5 25$
SHEST361	0	0	4	3-5
SHEST362	29.349882352941187	95	4	2-4 15$
SHEST363	29.28381176470588	2	4	3-5 15$
SHEST365	0	0	4	3-5
SHEST366	29.085600000000007	2	4	3-5 15$
SHEST367	30.109694117647066	95	4	2-4 15$
SHEST368	29.085600000000007	3	4	3-5 15$
SHEST369	29.085600000000007	95	4	3-5 15$
SHEST370	28.969976470588243	95	4	3-5 15$
SHEST371	28.936941176470597	2	4	3-5 15$
SHEST372	0	0	4	3-5
SHEST373	28.8708705882353	95	4	3-5 15$
SHEST376	28.325788235294127	95	4	3-5 15$
SHEST377	28.11105882352942	95	4	3-5 15$
SHEST378	28.04498823529412		4	3-5 15$
SHEST379	27.929364705882357	95	4	2-4 15$
SHEST380	28.689176470588244	95	4	3-5 15$
SHEST381	27.846776470588246	95	4	3-5 15$
SHEST382	29.977552941176477	95	4	3-5 15$
SHEST383	27.61552941176472	95	4	2-4 15$
SHEST384	27.599011764705885	2	4	3-5 15$
SHEST385	25.996800000000007	95	4	3-5 15$
SHEST386	26.54188235294118	95	4	3-5 15$
SHEST387	0	0	4	3-5
SHEST388	27.103482352941178	95	4	3-5 15$
SHEST389	26.98785882352942	95	4	3-5 15$
SHEST390	26.921788235294123	3	4	3-5 15$
SHEST391	27.912847058823537	95	4	3-5 15$
SHEST392	26.88875294117647	95	4	3-5 15$
SHEST393	21.1833411764706	95	4	3-5 25$
SHEST394	26.64098823529413	95	4	3-5 15$
SHEST395	27.08696470588236	95	4	3-5 15$
SHEST396	25.864658823529417	1	4	3-5 15$
SHEST397	25.121364705882357	95	4	3-5 15$
SHEST398	26.442776470588242		4	3-5 15$
SHEST399	0	0	4	3-5
SHEST400	26.277600000000007	95	4	3-5 15$
SHEST401	26.26108235294118	95	4	3-5 15$
SHEST402	26.24456470588236	95	4	3-5 15$
SHEST403	27.61552941176472	2	4	3-5 15$
SHEST405	26.145458823529417	95	4	3-5 15$
SHEST406	25.336094117647065	95	4	2-4 15$
SHEST407	26.013317647058827	95	4	3-5 15$
SHEST408	0	0	4	3-5
SHEST409	25.96376470588236	3	4	3-5 15$
SHEST410	26.558400000000006	95	4	3-5 15$
SHEST411	24.642352941176476	2	4	3-5 15$
SHEST412	0	0	4	3-5
